kind,role,position,key,signal_name,safe_name
position_quality,core,CM,,Big Chances Created per90,Big_Chances_Created_per90
position_quality,core,CM,,Key Passes per90,Key_Passes_per90
position_quality,core,CM,,Big Chance Creation Conversion %,Big_Chance_Creation_Conversion_pct
position_quality,core,CM,,Key Pass Conversion %,Key_Pass_Conversion_pct
position_quality,core,CM,,Big Chance Created Share,Big_Chance_Created_Share
position_quality,core,CM,,Key Pass Share,Key_Pass_Share
style,core,CM,Control,Backward Pass Rate,Backward_Pass_Rate
style,core,CM,Control,Backward Pass Share,Backward_Pass_Share
style,core,CM,Control,Pass Share,Pass_Share
style,supporting,CM,Control,Accurate Passes %,Accurate_Passes_pct
style,supporting,CM,Control,Passes per90,Passes_per90
style,supporting,CM,Control,Backward Passes per90,Backward_Passes_per90
style,core,CM,Progression,Final Third Pass Rate,Final_Third_Pass_Rate
style,core,CM,Progression,Final Third Pass Share,Final_Third_Pass_Share
style,core,CM,Progression,Progressive Passing Preference,Progressive_Passing_Preference
style,supporting,CM,Progression,Passes in Final Third per90,Passes_in_Final_Third_per90
style,core,CM,Direct,Long Ball Rate,Long_Ball_Rate
style,core,CM,Direct,Long Ball Share,Long_Ball_Share
style,core,CM,Direct,Directness Proxy,Directness_Proxy
style,supporting,CM,Direct,Long Balls per90,Long_Balls_per90
style,supporting,CM,Direct,Aerial Duel Success %,Aerial_Duel_Success_pct
position_quality,core,AM,,Tackles per90,Tackles_per90
position_quality,core,AM,,Tackles Won %,Tackles_Won_pct
position_quality,core,AM,,Tackle Share,Tackle_Share
position_quality,core,AM,,Tackle Share Rel. Ground Duel Attempt Share,Tackle_Share_Rel_Ground_Duel_Attempt_Share
position_quality,core,AM,,Interceptions per90,Interceptions_per90
position_quality,core,AM,,Interception Share,Interception_Share
position_quality,core,AM,,Ball Recoveries per90,Ball_Recoveries_per90
position_quality,core,AM,,Ball Recovery Share,Ball_Recovery_Share
position_quality,core,AM,,Dribble Attempts per90,Dribble_Attempts_per90
position_quality,core,AM,,Dribble Rate,Dribble_Rate
position_quality,core,AM,,Aerial Duel Attempts per90,Aerial_Duel_Attempts_per90
position_quality,core,AM,,Aerial Duel Share,Aerial_Duel_Share
position_quality,core,AM,,Ground Duel Attempts per90,Ground_Duel_Attempts_per90
position_quality,core,AM,,Ground Duel Success % (reconstructed),Ground_Duel_Success_pct_(reconstructed)
position_quality,core,AM,,Ground Duel Attempt Share,Ground_Duel_Attempt_Share
position_quality,core,AM,,Shots Total per90,Shots_Total_per90
position_quality,core,AM,,Shot Rate,Shot_Rate
position_quality,core,AM,,Goal Conversion %,Goal_Conversion_pct
