position,philosophy,rank,ability,weight_pct
Left Back,Progression,6,Build-Up Involvement,6.5
Left Back,Progression,7,Long Distribution,4.3
Left Back,Progression,8,Finishing / Shot Threat,1.1
Right Winger,Control,1,Chance Creation,29.5
Right Winger,Control,2,Crossing / Wide Delivery,20.5
Right Winger,Control,3,Ball Carrying / Dribbling,18.2
Right Winger,Control,4,Finishing / Shot Threat,15.9
Right Winger,Control,5,Ball Retention & Security,10.2
Right Winger,Control,6,Build-Up Involvement,4.5
Right Winger,Control,7,Progressive Passing,1.1
Right Winger,Control,8,Long Distribution,0.0
Right Winger,Direct,1,Finishing / Shot Threat,27.3
Right Winger,Direct,2,Ball Carrying / Dribbling,22.7
Right Winger,Direct,3,Crossing / Wide Delivery,18.2
Right Winger,Direct,4,Chance Creation,15.9
Right Winger,Direct,5,Ball Retention & Security,9.1
Right Winger,Direct,6,Build-Up Involvement,5.7
Right Winger,Direct,7,Long Distribution,1.1
Right Winger,Direct,8,Progressive Passing,0.0
Right Winger,Progression,1,Ball Carrying / Dribbling,25.0
Right Winger,Progression,2,Chance Creation,22.7
Right Winger,Progression,3,Crossing / Wide Delivery,18.2
Right Winger,Progression,4,Finishing / Shot Threat,15.9
Right Winger,Progression,5,Ball Retention & Security,9.1
Right Winger,Progression,6,Progressive Passing,6.8
Right Winger,Progression,7,Build-Up Involvement,2.3
Right Winger,Progression,8,Long Distribution,0.0
Left Winger,Control,1,Chance Creation,29.5
Left Winger,Control,2,Crossing / Wide Delivery,20.5
Left Winger,Control,3,Ball Carrying / Dribbling,18.2
Left Winger,Control,4,Finishing / Shot Threat,15.9
Left Winger,Control,5,Ball Retention & Security,10.2
Left Winger,Control,6,Build-Up Involvement,4.5
Left Winger,Control,7,Progressive Passing,1.1
Left Winger,Control,8,Long Distribution,0.0
Left Winger,Direct,1,Finishing / Shot Threat,27.3
Left Winger,Direct,2,Ball Carrying / Dribbling,22.7
Left Winger,Direct,3,Crossing / Wide Delivery,18.2
Left Winger,Direct,4,Chance Creation,15.9
Left Winger,Direct,5,Ball Retention & Security,9.1
Left Winger,Direct,6,Build-Up Involvement,5.7
Left Winger,Direct,7,Long Distribution,1.1
Left Winger,Direct,8,Progressive Passing,0.0
Left Winger,Progression,1,Ball Carrying / Dribbling,25.0
Left Winger,Progression,2,Chance Creation,22.7
Left Winger,Progression,3,Crossing / Wide Delivery,18.2
Left Winger,Progression,4,Finishing / Shot Threat,15.9
Left Winger,Progression,5,Ball Retention & Security,9.1
Left Winger,Progression,6,Progressive Passing,6.8
Left Winger,Progression,7,Build-Up Involvement,2.3
Left Winger,Progression,8,Long Distribution,0.0
Right Midfielder,Control,1,Chance Creation,30.3
Right Midfielder,Control,2,Ball Carrying / Dribbling,25.3
Right Midfielder,Control,3,Crossing / Wide Delivery,15.1
Right Midfielder,Control,4,Ball Retention & Security,11.5
Right Midfielder,Control,5,Progressive Passing,7.6
Right Midfielder,Control,6,Build-Up Involvement,6.5
Right Midfielder,Control,7,Long Distribution,2.5
Right Midfielder,Control,8,Finishing / Shot Threat,1.2
Right Midfielder,Direct,1,Crossing / Wide Delivery,25.9
Right Midfielder,Direct,2,Ball Carrying / Dribbling,21.5
Right Midfielder,Direct,3,Chance Creation,19.4
Right Midfielder,Direct,4,Ball Retention & Security,11.3
Right Midfielder,Direct,5,Long Distribution,7.5
Right Midfielder,Direct,6,Build-Up Involvement,6.8
Right Midfielder,Direct,7,Progressive Passing,5.4
Right Midfielder,Direct,8,Finishing / Shot Threat,2.2
Right Midfielder,Progression,1,Progressive Passing,26.5
Right Midfielder,Progression,2,Chance Creation,21.7
Right Midfielder,Progression,3,Ball Carrying / Dribbling,19.3
Right Midfielder,Progression,4,Crossing / Wide Delivery,12.1
Right Midfielder,Progression,5,Ball Retention & Security,11.4
Right Midfielder,Progression,6,Build-Up Involvement,6.5
Right Midfielder,Progression,7,Long Distribution,2.5
Right Midfielder,Progression,8,Finishing / Shot Threat,0.0
Left Midfielder,Control,1,Chance Creation,30.3
Left Midfielder,Control,2,Ball Carrying / Dribbling,25.3
Left Midfielder,Control,3,Crossing / Wide Delivery,15.1
Left Midfielder,Control,4,Ball Retention & Security,11.5
Left Midfielder,Control,5,Progressive Passing,7.6
Left Midfielder,Control,6,Build-Up Involvement,6.5
Left Midfielder,Control,7,Long Distribution,2.5
Left Midfielder,Control,8,Finishing / Shot Threat,1.2
Left Midfielder,Direct,1,Crossing / Wide Delivery,25.9
Left Midfielder,Direct,2,Ball Carrying / Dribbling,21.5
Left Midfielder,Direct,3,Chance Creation,19.4
Left Midfielder,Direct,4,Ball Retention & Security,11.3
Left Midfielder,Direct,5,Long Distribution,7.5
Left Midfielder,Direct,6,Build-Up Involvement,6.8
Left Midfielder,Direct,7,Progressive Passing,5.4
Left Midfielder,Direct,8,Finishing / Shot Threat,2.2
Left Midfielder,Progression,1,Progressive Passing,26.5
Left Midfielder,Progression,2,Chance Creation,21.7
Left Midfielder,Progression,3,Ball Carrying / Dribbling,19.3
Left Midfielder,Progression,4,Crossing / Wide Delivery,12.1
Left Midfielder,Progression,5,Ball Retention & Security,11.4
Left Midfielder,Progression,6,Build-Up Involvement,6.5
Left Midfielder,Progression,7,Long Distribution,2.5
Left Midfielder,Progression,8,Finishing / Shot Threat,0.0
