combo_id,position,style,emphasis_set,n_emphasis
CM_NOSTYLE_BALL_WINNING_PROGRESSOR,CM,NoStyle,"['Ball-Winning', 'Progressor']",2
CM_CONTROL_BALL_WINNING_PROGRESSOR,CM,Control,"['Ball-Winning', 'Progressor']",2
CM_PROGRESSION_BALL_WINNING_PROGRESSOR,CM,Progression,"['Ball-Winning', 'Progressor']",2
CM_DIRECT_BALL_WINNING_PROGRESSOR,CM,Direct,"['Ball-Winning', 'Progressor']",2
CM_NOSTYLE_BOX_TO_BOX_PROGRESSOR,CM,NoStyle,"['Box-to-Box', 'Progressor']",2
CM_CONTROL_BOX_TO_BOX_PROGRESSOR,CM,Control,"['Box-to-Box', 'Progressor']",2
CM_PROGRESSION_BOX_TO_BOX_PROGRESSOR,CM,Progression,"['Box-to-Box', 'Progressor']",2
CM_DIRECT_BOX_TO_BOX_PROGRESSOR,CM,Direct,"['Box-to-Box', 'Progressor']",2
CM_NOSTYLE_BALL_WINNING_BOX_TO_BOX_PROGRESSOR,CM,NoStyle,"['Ball-Winning', 'Box-to-Box', 'Progressor']",3
CM_CONTROL_BALL_WINNING_BOX_TO_BOX_PROGRESSOR,CM,Control,"['Ball-Winning', 'Box-to-Box', 'Progressor']",3
CM_PROGRESSION_BALL_WINNING_BOX_TO_BOX_PROGRESSOR,CM,Progression,"['Ball-Winning', 'Box-to-Box', 'Progressor']",3
CM_DIRECT_BALL_WINNING_BOX_TO_BOX_PROGRESSOR,CM,Direct,"['Ball-Winning', 'Box-to-Box', 'Progressor']",3
AM_NOSTYLE_NONE,AM,NoStyle,[],0
AM_CONTROL_NONE,AM,Control,[],0
AM_PROGRESSION_NONE,AM,Progression,[],0
AM_DIRECT_NONE,AM,Direct,[],0
AM_NOSTYLE_CREATOR,AM,NoStyle,['Creator'],1
AM_CONTROL_CREATOR,AM,Control,['Creator'],1
AM_PROGRESSION_CREATOR,AM,Progression,['Creator'],1
AM_DIRECT_CREATOR,AM,Direct,['Creator'],1
AM_NOSTYLE_GOAL_THREAT,AM,NoStyle,['Goal Threat'],1
AM_CONTROL_GOAL_THREAT,AM,Control,['Goal Threat'],1
AM_PROGRESSION_GOAL_THREAT,AM,Progression,['Goal Threat'],1
AM_DIRECT_GOAL_THREAT,AM,Direct,['Goal Threat'],1
AM_NOSTYLE_CREATOR_GOAL_THREAT,AM,NoStyle,"['Creator', 'Goal Threat']",2
AM_CONTROL_CREATOR_GOAL_THREAT,AM,Control,"['Creator', 'Goal Threat']",2
AM_PROGRESSION_CREATOR_GOAL_THREAT,AM,Progression,"['Creator', 'Goal Threat']",2
AM_DIRECT_CREATOR_GOAL_THREAT,AM,Direct,"['Creator', 'Goal Threat']",2
CF_NOSTYLE_NONE,CF,NoStyle,[],0
CF_CONTROL_NONE,CF,Control,[],0
CF_PROGRESSION_NONE,CF,Progression,[],0
CF_DIRECT_NONE,CF,Direct,[],0
CF_NOSTYLE_FINISHER,CF,NoStyle,['Finisher'],1
CF_CONTROL_FINISHER,CF,Control,['Finisher'],1
CF_PROGRESSION_FINISHER,CF,Progression,['Finisher'],1
CF_DIRECT_FINISHER,CF,Direct,['Finisher'],1
CF_NOSTYLE_AERIAL_TARGET,CF,NoStyle,['Aerial Target'],1
CF_CONTROL_AERIAL_TARGET,CF,Control,['Aerial Target'],1
CF_PROGRESSION_AERIAL_TARGET,CF,Progression,['Aerial Target'],1
CF_DIRECT_AERIAL_TARGET,CF,Direct,['Aerial Target'],1
CF_NOSTYLE_FINISHER_AERIAL_TARGET,CF,NoStyle,"['Finisher', 'Aerial Target']",2
CF_CONTROL_FINISHER_AERIAL_TARGET,CF,Control,"['Finisher', 'Aerial Target']",2
CF_PROGRESSION_FINISHER_AERIAL_TARGET,CF,Progression,"['Finisher', 'Aerial Target']",2
CF_DIRECT_FINISHER_AERIAL_TARGET,CF,Direct,"['Finisher', 'Aerial Target']",2
